"20004","Ali Khan","Khopar Khairane","0000-00-00","10 am ","A campaign for collecting cartons","9988776655"
"20005","Ali Khan","Khopar Khairane","0000-00-00","10 am ","A campaign for collecting cartons","9988776655"
"20006","Ali Khan","Khopar Khairane","0000-00-00","10 am ","Collection of tetra pack cartons.","9988776655"
"20007","Ali Khan","Khopar Khairane","2018-03-04","10 am ","blah","9988776655"
"10004","25","50","22",,NULL,"0"
"10008","45","100","22",,NULL,"0"
"10009","45","100","28",,NULL,"0"
"10010","25","50","28",,NULL,"0"
"10011","1000","100","28",,NULL,"0"
"10012","1000","100","30",,NULL,"0"
"10013","25","50","28",,NULL,"0"
"10014","45","50","28",,NULL,"0"
"40001",NULL,"46",NULL,"100","18000","0"
"30000","40",NULL,NULL,"25","0","0"
"30001","40",NULL,NULL,"25","0","0"
"30002","40",NULL,NULL,"123","0","0"
"30003","38",NULL,NULL,"123","0","0"
"22","Kamana","9867454545","Andheri","kamana@gmail.com","delivery","kamz789","$2y$10$3k.A9vg1fmxKwZzWT3xDde.ghwrlwOThA1aqVLsj8lhSLXf4DWOIe",,NULL
"27","Deeksha","9867101404","Thane","2016.deeksha.shetty@","donor","deekshaw123","$2y$10$UhANehbuyNBR04DJVwgDz.pk6XRHighK/sc/EMwNgUo9sKuLZ2N.C","e55bc0255c752d1cb05da10c0f1f5026",NULL
"28","Aarav Gupta","9112312322","Bandra","aarav.gupta@gmail.co","donor","aarav123","$2y$10$lJqq3XknBSjCoCGNkDHisOBmV3ydMDrHFnsVsWMCbcKUDl1mtWxNC","5a4be1fa34e62bb8a6ec6b91d2462f5a",NULL
"29","Bhavin Kumar","9988776655","Juhu","bhavin.kumar@ymail.c","donor","bhavin123","$2y$10$fDjjTyyXdTyG4gYbWh2H2OrNIjDktZr8HveHDkrMqldJ3HQFzftaa","2adcefe38fbcd3dcd45908fbab1bf628",NULL
"30","Darshit Chauhan","9911223344","Chembur","darshit.chauhan12@gm","donor","darshit345","$2y$10$jtur0IadHGVGyyUuX2zd4.AEY7LhJT5xWCzUcErJ3nFOOneq1ny72","1301962d8b7bd03fffaa27119aa7fc2b",NULL
"31","Eshan Dhumal","9121212012","Kalyan","eshan987@hotmail.com","donor","eshan902","$2y$10$I/entFEoGc7Y/SM7zr6MC.6CMIPp7b2oVXpvPdDj1mVGRhajBhNMK","c165ed49edbd0e69b120bee701bdb794",NULL
"32","Hansh Gupta","9988776654","Mulund","hanshgupta98@gmail.c","donor","hansh0909","$2y$10$4FKVxa.Pm4y18Zvm7QZgdOEMBBrL75dUYpTZy8w71o4Ki.DlGEk5G","76bba5ee241042431796c97a92e64f5d",NULL
"33","Abhijeet Choudhary","9080706050","Chembur","abhijeet7867@gmail.c","volunteer","abhijeet7867","$2y$10$iraTsYZ6ElvYbc.qpT49A.VB3glxHU26fLGqE/9nb0ooFr7ZCq4ba","4efa8b668ee1198289bb15965d9705b6",NULL
"34","Ali Khan","9111111122","Kurla","alikhan90@gmail.com","volunteer","alikhan89","$2y$10$qtxjbJTOvKKcstZnNiYvFuTNvPfm0mGYfI8d3cqtQnOomBNhpENPG","1f5f6ad95cc908a20bb7e30ee28a5958",NULL
"35","Abha Kapoor","9898912122","Bhandup","abhakapoor@gmail.com","volunteer","abhakap10","$2y$10$iI5K/nlW86dJ9Yzk2eCIh.LCXcn/BJ7bTVU.prXYFN5LoOxapszhG","b522259710151f8cc7870b970b4e0930",NULL
"36","Bharti Singh","9867444111","Lower Parel","bhartisingh@gmail.co","volunteer","bharti09","$2y$10$jnyzy6mRVxAWxc3sSxFwS.ex..aMV1lB4K6SBKG1zC6ZWs98kxnwe","64314c17210c549a854f1f1c7adce8b6",NULL
"37","Dipti Samant","8887776662","Panvel","diptisamant@gmail.co","volunteer","dipto89","$2y$10$6S4n4s9LAF2nvXw8QT/KMOiqm2BEe.n669/9ErpWYL4OHpIl1P/Qq","cdaeb1282d614772beb1e74c192bebda",NULL
"38","Aarna Foundation","7766554433","Thane","aarnafound@gmail.com","ngo","aarnafo12","$2y$10$Hx2dxfN8UtsZ45MkvCyGke2IQF3SypUFvk2Ks./.EsRb4WB0ub0a.","db5bdc8ad46ab6087d9cdfd8a8662ddf",NULL
